layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
23,-0.03703957,-0.03130802,-0.04213471,-0.04799360,-0.01086165,0.01820222,0.01369922,0.02617405,0.05552968,0.11634862,0.12617554,0.15103801,0.20271999,0.25399029,0.31531769,0.38464776,0.42838758,0.48341453,0.54348046,0.61159682,0.67414957,0.75208300,0.87819535,1.00000107,0.88003403,0.82066858,0.76601201,0.71122813,0.65227377,0.58937836,0.54007918,0.49095610,0.43333912,0.38691121,0.32322252,0.21819943
24,-0.03144868,-0.03114118,-0.04537394,-0.06081835,-0.01247939,0.01749189,0.01669398,0.02659073,0.05192258,0.10130579,0.10408095,0.12803334,0.19008826,0.23437919,0.28307196,0.33850685,0.37258342,0.42806622,0.48461667,0.54362267,0.59946877,0.66037124,0.77360535,0.88003403,1.00000083,0.91861975,0.86452562,0.81064349,0.75339437,0.68693197,0.63751680,0.58728975,0.52439523,0.47588891,0.40021104,0.23383372
25,-0.02633997,-0.02577139,-0.03995605,-0.05899262,-0.01092159,0.01882749,0.02212319,0.03394257,0.04481575,0.09834277,0.10442065,0.12713310,0.18572702,0.22637677,0.27220309,0.31165105,0.34924275,0.40435833,0.45557398,0.50837421,0.55561656,0.60905939,0.71529824,0.82066858,0.91861975,1.00000060,0.93938094,0.88402408,0.81991398,0.75856972,0.71209347,0.66077304,0.59978652,0.54579610,0.46113604,0.24761295
26,-0.02082657,-0.02452099,-0.03945825,-0.05226153,0.00472867,0.02107841,0.02812461,0.03932053,0.04774164,0.09531564,0.10795923,0.12965471,0.18171091,0.21454771,0.25764069,0.28810993,0.32329232,0.37026539,0.41805077,0.46754500,0.50546682,0.55700320,0.66064078,0.76601201,0.86452562,0.93938094,1.00000083,0.93698949,0.87040681,0.80865788,0.76487058,0.71153957,0.64341265,0.58575791,0.49006930,0.26010421
27,-0.02514308,-0.03026260,-0.04169121,-0.05574027,0.00613655,0.02140158,0.02841290,0.03959366,0.05134758,0.09217019,0.10538980,0.12577818,0.17097823,0.20085341,0.24348783,0.27481830,0.30716002,0.34841239,0.40184045,0.44551605,0.47254744,0.51233935,0.61035258,0.71122813,0.81064349,0.88402408,0.93698949,1.00000095,0.92562133,0.86047345,0.80726618,0.75068659,0.67973399,0.61296248,0.51230443,0.28175095
28,-0.02242053,-0.03542279,-0.05065887,-0.06726454,-0.00389767,0.01274174,0.02595996,0.03423868,0.04612933,0.08057529,0.09850103,0.11639263,0.15872116,0.19104970,0.22118233,0.24060398,0.26997390,0.31222579,0.36099166,0.40384650,0.42958188,0.46776879,0.55735224,0.65227377,0.75339437,0.81991398,0.87040681,0.92562133,1.00000095,0.93520647,0.88331819,0.82420176,0.75210440,0.67767286,0.57027113,0.29601401
29,-0.01360847,-0.03507032,-0.04700701,-0.05847797,0.00520989,0.02243078,0.03683904,0.03534283,0.04835433,0.07103934,0.09407240,0.10744170,0.13958871,0.17296281,0.19886306,0.20537962,0.23100580,0.26783317,0.31380516,0.35083306,0.37047043,0.41339839,0.50440097,0.58937836,0.68693197,0.75856972,0.80865788,0.86047345,0.93520647,1.00000083,0.95220190,0.89368421,0.82201582,0.74211895,0.62739432,0.29411334
30,-0.00481996,-0.03074734,-0.05157213,-0.06395064,0.00652956,0.03034745,0.04449012,0.03676709,0.04891648,0.06719921,0.09543609,0.11041785,0.13777423,0.16384704,0.17870346,0.17332985,0.19415784,0.23375912,0.27548173,0.31335539,0.32976520,0.36806276,0.46453810,0.54007918,0.63751680,0.71209347,0.76487058,0.80726618,0.88331819,0.95220190,1.00000083,0.94605774,0.87981319,0.79487294,0.67616296,0.28451267
31,-0.00002628,-0.03146431,-0.05646325,-0.07044796,-0.00007215,0.02661163,0.04907260,0.03797555,0.04717368,0.06307293,0.09975591,0.11658088,0.13378668,0.15297504,0.15878399,0.13837817,0.15395086,0.19560024,0.23489976,0.26742056,0.28351811,0.32342649,0.42657557,0.49095610,0.58728975,0.66077304,0.71153957,0.75068659,0.82420176,0.89368421,0.94605774,1.00000060,0.93703526,0.84933329,0.72245169,0.26823297
32,0.01005164,-0.02357681,-0.05081097,-0.06512200,0.00720131,0.02876640,0.05580138,0.04085019,0.04551658,0.05705117,0.10091652,0.11150135,0.12445063,0.13068682,0.13582528,0.10649579,0.11486419,0.16514924,0.19831875,0.22914183,0.23800117,0.27401054,0.38285211,0.43333909,0.52439511,0.59978676,0.64341247,0.67973381,0.75210440,0.82201576,0.87981308,0.93703502,1.00000072,0.91734326,0.79323900,0.27032420
33,0.01866494,-0.01082787,-0.04146465,-0.05248363,0.01223316,0.02314968,0.04315442,0.02934653,0.03067018,0.05000728,0.08584934,0.09167312,0.10763211,0.10945539,0.12151913,0.09147126,0.10522881,0.15290828,0.17794900,0.20957069,0.21956147,0.24868990,0.34443623,0.38691124,0.47588876,0.54579598,0.58575791,0.61296248,0.67767286,0.74211901,0.79487300,0.84933317,0.91734326,1.00000131,0.87765831,0.32900476
34,0.01186167,-0.00747733,-0.02714942,-0.03014474,0.01685235,0.02932189,0.05229329,0.03769394,0.03837011,0.05429360,0.08451266,0.09082828,0.10521540,0.10246288,0.11522231,0.07963272,0.09599480,0.12945594,0.14562483,0.16159841,0.17271389,0.20284165,0.28384787,0.32322255,0.40021098,0.46113586,0.49006924,0.51230437,0.57027143,0.62739432,0.67616338,0.72245127,0.79323900,0.87765831,1.00000131,0.41522950
35,-0.03357847,-0.00377171,0.01840157,0.03608475,0.01376411,0.00321173,-0.02746694,-0.01236103,-0.00396092,0.03221165,-0.01460478,-0.00615008,0.01436727,0.04442883,0.07707793,0.14111061,0.15699528,0.14037676,0.16780087,0.17809463,0.18848038,0.18896240,0.16203652,0.21819942,0.23383366,0.24761295,0.26010427,0.28175083,0.29601401,0.29411334,0.28451276,0.26823309,0.27032420,0.32900476,0.41522950,1.00000167
