layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
23,-0.01262406,-0.02569174,-0.02153091,-0.01201941,0.01390993,-0.01587241,-0.02115099,-0.00471951,-0.00343624,-0.00521016,0.00841024,0.03487002,0.05075476,0.01364108,0.07132196,0.09098385,0.16589448,0.23681419,0.35602129,0.46724606,0.57131362,0.66121733,0.82236069,1.00000107,0.81543130,0.77006841,0.72501236,0.67361534,0.63058132,0.59305000,0.56104660,0.54107165,0.50083673,0.46240333,0.42089242,0.17849393
24,-0.00717081,-0.01788430,-0.00305532,-0.00282270,-0.00138302,-0.02143950,-0.02131239,-0.00394116,0.01196423,0.00524420,0.00446021,0.01491181,0.03778922,0.00105799,0.04646540,0.03778580,0.11242183,0.17160508,0.27208140,0.36604366,0.45426738,0.51679420,0.65840274,0.81543130,1.00000060,0.89537746,0.82550609,0.76690894,0.70861059,0.66388243,0.62936985,0.60583270,0.56032228,0.51681060,0.45599556,0.27938396
25,-0.00239705,-0.01785038,-0.01376619,-0.00272462,0.00236047,-0.01988556,-0.02195948,-0.00757191,-0.00160227,-0.00291995,-0.00617863,0.01035421,0.02733407,0.00279869,0.04545089,0.04090841,0.11501653,0.18510345,0.27319869,0.35466841,0.43729848,0.49867350,0.61968023,0.77006841,0.89537746,1.00000072,0.91574836,0.85057926,0.78151453,0.72631639,0.68712413,0.66202992,0.61686468,0.56810236,0.50767875,0.26820207
26,0.00103092,-0.01076229,-0.00888531,0.00240861,0.00778827,-0.01171089,-0.01538644,-0.00584596,0.00158681,-0.00111913,-0.00296472,0.00963227,0.02483908,0.01011633,0.04477248,0.05346223,0.11829975,0.18060409,0.26438203,0.33548170,0.41001278,0.46352589,0.57858014,0.72501236,0.82550609,0.91574836,1.00000083,0.92296177,0.84691924,0.78884298,0.75039297,0.72081590,0.67076647,0.62195528,0.56208307,0.27706993
27,-0.00478012,-0.01255006,-0.01462333,0.01021379,0.01550778,-0.00337234,-0.00490475,0.00276957,0.00987132,-0.00043817,0.00834446,0.01610458,0.02459311,0.01507458,0.05160771,0.06183907,0.11761432,0.17432237,0.25097543,0.30991814,0.37178126,0.42004648,0.53643727,0.67361534,0.76690894,0.85057926,0.92296177,1.00000095,0.90786815,0.84082913,0.79742736,0.76695514,0.71839362,0.66586792,0.60319471,0.30678809
28,-0.01054832,-0.02532286,-0.02613473,-0.00667417,0.01053961,0.00741681,-0.00006726,0.01304694,0.01957319,0.01125224,0.01528520,0.02270177,0.03644438,0.00964680,0.04890917,0.06097149,0.10968681,0.15866657,0.22776377,0.28956321,0.34409377,0.38909680,0.49376568,0.63058132,0.70861059,0.78151453,0.84691924,0.90786815,1.00000107,0.92601734,0.88077146,0.84092617,0.78782982,0.73346382,0.66304398,0.33510596
29,-0.02063916,-0.02869025,-0.03117475,-0.01090601,-0.00250357,0.01243761,0.00556700,0.00684229,0.01334753,0.00838159,0.01416947,0.01896477,0.02726875,0.00029932,0.04429214,0.05431651,0.09569354,0.13957627,0.20472914,0.27043280,0.31381533,0.35842913,0.46248302,0.59305000,0.66388243,0.72631639,0.78884298,0.84082913,0.92601734,1.00000095,0.95001864,0.90591723,0.84947234,0.79188138,0.70647025,0.38417906
30,-0.02378906,-0.02723492,-0.03054416,-0.01189537,-0.00425305,0.00607396,0.00115824,0.00423416,0.01177530,0.00880752,0.01697619,0.01491997,0.02482230,0.00034185,0.03201987,0.04021347,0.08124594,0.12396257,0.19359250,0.25533929,0.29706490,0.33877885,0.43799350,0.56104660,0.62936985,0.68712413,0.75039297,0.79742736,0.88077146,0.95001864,1.00000072,0.94772285,0.89090014,0.83012867,0.73538280,0.41354084
31,-0.01337922,-0.01956815,-0.02286190,-0.00596612,0.00117549,0.00871389,0.00130493,0.00427084,0.01680285,0.01549062,0.01831909,0.01481701,0.02707955,0.00200537,0.02869955,0.03524035,0.07785613,0.12161285,0.19021989,0.25319907,0.29186693,0.33215642,0.42194161,0.54107165,0.60583270,0.66202992,0.72081590,0.76695514,0.84092617,0.90591723,0.94772285,1.00000060,0.93863201,0.87628669,0.77077794,0.45190707
32,-0.02176559,-0.02020033,-0.02136952,-0.01383460,-0.00849941,0.00171546,-0.00270426,-0.00001682,0.01114241,0.01140240,0.00569680,0.00568098,0.02004330,0.00337051,0.01928130,0.02262159,0.06784468,0.10391191,0.17184858,0.22944736,0.27110660,0.30652094,0.38559359,0.50083691,0.56032217,0.61686450,0.67076641,0.71839362,0.78782952,0.84947187,0.89090025,0.93863213,1.00000119,0.93034768,0.81805146,0.49690413
33,-0.02386372,-0.02592445,-0.02593929,-0.01737702,-0.00364288,0.00305033,-0.00745536,-0.00081131,0.01633743,0.01508245,0.00929878,-0.00079058,0.00874043,-0.00306724,0.01272912,0.00814854,0.04538924,0.08228274,0.14246504,0.19878346,0.23694481,0.27392516,0.34994966,0.46240333,0.51681066,0.56810242,0.62195534,0.66586816,0.73346353,0.79188150,0.83012849,0.87628698,0.93034768,1.00000107,0.88333666,0.53632826
34,-0.02027627,-0.01837737,-0.02767149,-0.00812109,0.00758035,0.00390940,-0.00330801,-0.00988705,0.00486663,-0.00260750,-0.00451444,-0.01962508,-0.00473150,-0.00331642,0.01351778,0.03258649,0.05903864,0.09549033,0.14387354,0.19440591,0.23074614,0.26263940,0.32087690,0.42089257,0.45599565,0.50767893,0.56208318,0.60319471,0.66304404,0.70647037,0.73538291,0.77077806,0.81805146,0.88333666,1.00000107,0.50940233
35,-0.03377409,-0.00250833,0.00657992,0.01240006,-0.02955500,-0.01274613,-0.00581378,0.01002341,0.05182249,0.02138806,0.02690310,-0.00463592,0.02882199,0.02025913,-0.00574779,-0.06368821,-0.02926805,-0.01837854,0.00384541,0.05823648,0.07124400,0.09306394,0.14365157,0.17849392,0.27938390,0.26820201,0.27706996,0.30678815,0.33510593,0.38417917,0.41354087,0.45190692,0.49690413,0.53632826,0.50940233,1.00000024
