layer_i,layer_j,cosine
28,14,0.03972675
28,15,0.05532734
28,16,0.09677145
28,17,0.15644243
28,18,0.21209712
28,19,0.28991038
28,20,0.33491266
28,21,0.37805307
28,22,0.48513988
28,23,0.59006286
28,24,0.68627155
28,25,0.75498009
28,26,0.82830024
28,27,0.89838886
28,28,1.00000083
28,29,0.91516960
28,30,0.85737759
28,31,0.79808456
28,32,0.73795336
28,33,0.69101095
28,34,0.60846442
28,35,0.26895818
29,0,-0.03284606
29,1,-0.02841790
29,2,-0.03039582
29,3,-0.01959648
29,4,-0.00355815
29,5,-0.00987293
29,6,-0.01771541
29,7,-0.02144575
29,8,0.00028179
29,9,-0.02175565
29,10,-0.00709905
29,11,0.00556276
29,12,0.02439432
29,13,0.02153414
29,14,0.03932982
29,15,0.04869996
29,16,0.08513330
29,17,0.14036728
29,18,0.18982233
29,19,0.26695704
29,20,0.30159289
29,21,0.34494093
29,22,0.45138845
29,23,0.54593188
29,24,0.63311958
29,25,0.69755208
29,26,0.76603198
29,27,0.82729667
29,28,0.91516960
29,29,1.00000095
29,30,0.93594354
29,31,0.87439615
29,32,0.80963016
29,33,0.75498807
29,34,0.65021479
29,35,0.32396409
30,0,-0.03107978
30,1,-0.02146794
30,2,-0.03166746
30,3,-0.01497216
30,4,-0.00433451
30,5,-0.01269859
30,6,-0.02151514
30,7,-0.02655849
30,8,-0.00781061
30,9,-0.02159788
30,10,-0.00242749
30,11,0.00334101
30,12,0.02181741
30,13,0.02404788
30,14,0.03562151
30,15,0.04429242
30,16,0.07780260
30,17,0.13255924
30,18,0.18546925
30,19,0.25348103
30,20,0.28731987
30,21,0.32774553
30,22,0.42354599
30,23,0.50848442
30,24,0.59217167
30,25,0.65298313
30,26,0.71345812
30,27,0.77175701
30,28,0.85737759
30,29,0.93594354
30,30,1.00000083
30,31,0.93497181
30,32,0.86449039
30,33,0.80279338
30,34,0.68615246
30,35,0.35873926
31,0,-0.02567582
31,1,-0.01811473
31,2,-0.02490702
31,3,-0.01286009
31,4,-0.00590345
31,5,-0.01460351
31,6,-0.02179964
31,7,-0.02951550
31,8,-0.00253969
31,9,-0.01480969
31,10,-0.00248156
31,11,-0.00211434
31,12,0.01483754
31,13,0.02573073
31,14,0.03221570
31,15,0.03849245
31,16,0.07052936
31,17,0.12690693
31,18,0.18020871
31,19,0.24129325
31,20,0.27280316
31,21,0.30357739
31,22,0.39152047
31,23,0.47586891
31,24,0.55322039
31,25,0.60941213
31,26,0.66607952
31,27,0.71830332
31,28,0.79808456
31,29,0.87439615
31,30,0.93497181
31,31,1.00000048
31,32,0.91723001
31,33,0.84917867
31,34,0.71958065
31,35,0.40671694
32,0,-0.02823453
32,1,-0.01924401
32,2,-0.03084723
32,3,-0.01900642
32,4,-0.00578491
32,5,-0.01013103
32,6,-0.01665442
32,7,-0.02614255
32,8,-0.00251815
32,9,-0.01593087
32,10,-0.01145507
32,11,-0.00042146
32,12,0.01256094
32,13,0.02892240
32,14,0.03348483
32,15,0.03638668
32,16,0.07136485
32,17,0.11690890
32,18,0.17438082
32,19,0.22646271
32,20,0.25857100
32,21,0.27765390
32,22,0.35162261
32,23,0.42893696
32,24,0.49726999
32,25,0.55075407
32,26,0.60919595
32,27,0.66111547
32,28,0.73795331
32,29,0.80963004
32,30,0.86448991
32,31,0.91723031
32,32,1.00000095
32,33,0.92468441
32,34,0.78953671
32,35,0.44389075
33,0,-0.02574127
33,1,-0.02856111
33,2,-0.03326410
33,3,-0.02025438
33,4,0.00667241
33,5,-0.01248883
33,6,-0.02141209
33,7,-0.01688727
33,8,0.00158717
33,9,-0.01727397
33,10,-0.01440459
33,11,-0.00417824
33,12,0.00004719
33,13,0.02159319
33,14,0.03013592
33,15,0.03724882
33,16,0.07350450
33,17,0.11667435
33,18,0.16317479
33,19,0.21003999
33,20,0.24250445
33,21,0.25851732
33,22,0.32327649
33,23,0.40294197
33,24,0.45154208
33,25,0.50612313
33,26,0.57078195
33,27,0.62024009
33,28,0.69101107
33,29,0.75498790
33,30,0.80279362
33,31,0.84917873
33,32,0.92468441
33,33,1.00000072
33,34,0.86930013
33,35,0.43805611
34,0,-0.02574724
34,1,-0.02971700
34,2,-0.04145930
34,3,-0.02291301
34,4,0.00859957
34,5,-0.02085152
34,6,-0.03135322
34,7,-0.03477155
34,8,-0.01006189
34,9,-0.03328545
34,10,-0.04037565
34,11,-0.02675031
34,12,-0.02098839
34,13,0.00950495
34,14,0.02912759
34,15,0.07611188
34,16,0.09740178
34,17,0.14475948
34,18,0.18310621
34,19,0.21911915
34,20,0.25478458
34,21,0.25779328
34,22,0.29730040
34,23,0.36579198
34,24,0.38168705
34,25,0.43476439
34,26,0.50526386
34,27,0.55221516
34,28,0.60846454
34,29,0.65021467
34,30,0.68615252
34,31,0.71958029
34,32,0.78953671
34,33,0.86930013
34,34,1.00000060
34,35,0.36001384
35,0,0.05863712
35,1,0.11668763
35,2,0.04804622
35,3,0.07197008
35,4,-0.04900930
35,5,0.00446342
35,6,0.01850062
35,7,0.01309770
35,8,0.03280816
35,9,0.03544827
35,10,0.04938640
35,11,0.01962229
35,12,0.03767324
35,13,0.02916040
35,14,0.03537903
35,15,-0.06108506
35,16,-0.03216451
35,17,-0.03707404
35,18,-0.03191668
35,19,0.00093455
35,20,0.00819842
35,21,0.02746414
35,22,0.07061363
35,23,0.10652120
35,24,0.22315320
35,25,0.21670604
35,26,0.21538644
35,27,0.23567176
35,28,0.26895809
35,29,0.32396412
35,30,0.35873923
35,31,0.40671712
35,32,0.44389075
35,33,0.43805611
35,34,0.36001384
35,35,1.00000095
