layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
23,-0.03087458,-0.00766530,-0.01656696,0.00922807,0.03572973,-0.04473143,-0.01159488,-0.00857439,0.00690437,-0.00941544,0.01930668,0.00845826,0.00892860,-0.04043617,0.01835053,0.01407133,0.04453686,0.06372218,0.09246344,0.08316949,0.06428653,-0.01510419,0.07576180,1.00000107,0.07803106,0.01423532,0.08653086,0.03732922,0.06825382,0.04353686,0.01364967,0.00813656,0.01397126,0.04297579,0.00683877,-0.06294058
24,-0.01010226,0.02831862,0.03179387,-0.03348133,-0.06636272,0.02565625,0.02518287,-0.00079295,0.02542845,-0.01481416,-0.00144569,-0.03354811,0.03463386,-0.02187913,-0.00134993,-0.07193370,0.01205792,0.01445511,0.01155632,0.02582853,0.01121260,0.01389242,0.04365589,0.07803106,1.00000060,-0.05880834,-0.00111171,0.00534919,0.05922930,0.03395126,0.02144339,0.01683629,-0.00073351,-0.04038422,-0.07384800,0.12767813
25,-0.00966396,0.01482608,-0.01820550,0.03911836,0.06231990,-0.03994510,-0.01130268,-0.00600401,-0.00769169,0.00461488,-0.00077487,-0.00463061,-0.00558815,0.03668634,-0.00684490,0.01891346,0.03090881,0.05621161,0.01905820,0.02389822,0.04348749,0.03155706,0.01714997,0.01423532,-0.05880834,1.00000095,0.01383863,0.05132051,0.04789594,0.04617820,0.02422563,-0.01045339,0.02882469,0.03257117,0.03596259,-0.11334670
26,0.00042097,-0.01396918,-0.03647229,0.01896810,0.03843158,-0.02009672,-0.01146112,0.00215395,0.00900486,-0.01469928,0.00791441,-0.00339924,0.01671106,0.01493736,0.00494070,0.05469376,0.03816283,-0.00366564,0.04464739,0.02601224,0.03942044,0.00058935,0.05494398,0.08653086,-0.00111171,0.01383863,1.00000072,0.00811988,0.04769733,0.05480426,0.01713107,-0.00052986,0.04724146,0.06868897,0.08320311,-0.13508408
27,0.00995450,0.02531087,-0.02463315,0.03571422,0.04128820,-0.04090022,-0.00809246,0.00686919,0.02222931,-0.01139623,0.01009141,-0.00403388,-0.00806851,0.02272818,0.00547965,0.00808960,-0.02529853,0.02990256,0.01161342,0.01554996,-0.01544867,0.02522597,0.04440656,0.03732922,0.00534919,0.05132051,0.00811988,1.00000060,0.01712535,0.02063000,0.03000053,-0.01959703,0.05031776,0.03214120,0.02217055,-0.05828778
28,-0.01531745,0.00231337,-0.02415416,0.02128500,0.01263369,-0.01008433,-0.02870909,0.00349865,0.01023448,-0.02034315,0.00619170,0.00299138,0.01163518,-0.02210842,0.01607623,0.00846389,0.01422103,0.02144141,0.02315764,0.04732668,0.02657172,0.02386092,0.05719671,0.06825382,0.05922930,0.04789594,0.04769733,0.01712535,1.00000072,0.03665569,0.05114777,-0.00922049,0.04423387,0.01830328,-0.01946553,-0.03214626
29,-0.00043639,-0.00500305,-0.01793027,0.00267979,-0.04497772,0.03862724,0.01180651,-0.00968814,-0.01258957,0.01182360,-0.00659013,0.01651333,0.00192985,0.00162573,-0.00170060,-0.01664205,0.00193877,0.00438754,0.01576892,0.03749162,-0.00136314,0.02444269,0.05926603,0.04353686,0.03395126,0.04617820,0.05480426,0.02063000,0.03665569,1.00000083,0.02882239,0.01879035,0.04289621,-0.00643867,-0.06375792,0.04693237
30,-0.00587488,0.02831393,-0.02659907,-0.00070198,0.00524835,-0.00424683,-0.00248963,-0.02087013,-0.01422427,0.01240314,0.01546470,-0.01970416,0.00335128,0.00980055,-0.01416459,-0.00735906,0.00505406,0.02145571,0.04207352,0.00462295,0.02525948,0.01406658,0.01086867,0.01364967,0.02144339,0.02422563,0.01713107,0.03000053,0.05114777,0.02882239,1.00000083,0.00506021,0.03959547,0.00402888,-0.03917538,0.00122648
31,-0.01670621,-0.01953914,0.01826869,-0.01043953,-0.04301758,0.02615556,0.00597934,-0.01129672,0.03395584,0.00577578,-0.02793643,-0.01855677,0.00512166,0.01654825,-0.01211120,-0.00739108,0.00132699,0.02202064,0.02080657,0.00402744,0.00797218,-0.01958395,-0.00839287,0.00813656,0.01683629,-0.01045339,-0.00052986,-0.01959703,-0.00922049,0.01879035,0.00506021,1.00000107,-0.03194343,-0.02621186,-0.05769406,0.08736911
32,-0.01570554,0.01317482,-0.00275564,-0.00373393,0.01463213,-0.01196100,0.00381701,-0.00158393,-0.00550005,-0.00288269,-0.02060646,0.03400701,0.00033608,0.01951327,0.00564225,0.00183182,0.01763013,-0.00524648,0.03412883,-0.00009130,0.02339692,-0.02183492,-0.02370857,0.01397125,-0.00073351,0.02882467,0.04724145,0.05031775,0.04423388,0.04289623,0.03959548,-0.03194344,1.00000072,0.00085353,0.00757150,-0.03799982
33,0.02109848,-0.00410988,-0.01659785,0.05986682,0.10087716,-0.07992747,-0.01481335,0.04562221,-0.01303599,0.00104992,0.00093115,-0.00793249,-0.02741224,0.01569769,0.02509965,0.01296715,0.02328320,0.02238279,-0.00170518,0.00377428,0.01086672,-0.00211012,-0.00018972,0.04297581,-0.04038419,0.03257119,0.06868899,0.03214118,0.01830330,-0.00643866,0.00402887,-0.02621187,0.00085353,1.00000024,0.08810230,-0.16457306
34,-0.00103168,0.01135426,-0.02222201,0.03335451,0.06459742,-0.06207892,-0.00421327,-0.01750916,-0.00506436,-0.00964984,-0.02255299,0.00383087,-0.00589149,0.02632453,0.02023262,0.10401322,0.00229788,0.05170578,0.02906129,0.02514249,0.04036118,-0.02265250,-0.02856303,0.00683877,-0.07384785,0.03596255,0.08320310,0.02217053,-0.01946553,-0.06375789,-0.03917538,-0.05769407,0.00757150,0.08810230,1.00000119,-0.37550271
35,0.02802821,0.01527718,0.02733565,-0.09802976,-0.23624210,0.17565084,0.04911152,-0.00051302,0.05942458,-0.01063353,-0.00123888,-0.03067503,0.04792873,-0.03212396,-0.03650534,-0.15073639,-0.01966183,-0.06403797,-0.07543793,-0.04715138,-0.05515433,-0.00797188,-0.02563023,-0.06294056,0.12767813,-0.11334668,-0.13508411,-0.05828778,-0.03214628,0.04693241,0.00122648,0.08736916,-0.03799982,-0.16457306,-0.37550271,1.00000119
