layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
24,-0.02855798,-0.02481272,-0.01496350,-0.00415817,0.01164145,-0.02641830,-0.02544447,-0.02768691,-0.00439386,-0.02760879,0.00079499,0.01054419,0.03558676,0.00713818,0.04898658,0.04427619,0.11281171,0.18269050,0.25777635,0.36938646,0.43597272,0.50150973,0.64860928,0.80312288,1.00000095,0.90227437,0.82284170,0.75010842,0.68627155,0.63311958,0.59217167,0.55322039,0.49726987,0.45154208,0.38168705,0.22315322
25,-0.03369381,-0.02833603,-0.02025042,-0.00718691,0.02323244,-0.02638449,-0.02593194,-0.02899072,-0.00875693,-0.02678329,-0.00366829,0.00678733,0.02988222,0.01654177,0.04600420,0.04734252,0.11619944,0.19031288,0.25665936,0.35543346,0.42345071,0.48657107,0.61722589,0.74694693,0.90227437,1.00000060,0.90425396,0.83013958,0.75498009,0.69755208,0.65298313,0.60941213,0.55075407,0.50612307,0.43476433,0.21670604
26,-0.03339577,-0.03576216,-0.02976511,-0.02252003,0.01296580,-0.02387658,-0.03027240,-0.03005339,-0.00281945,-0.02899791,-0.00499354,0.00258608,0.02791130,0.01946678,0.04504654,0.06210974,0.12482290,0.18061857,0.24881066,0.33553848,0.40010157,0.44891226,0.57374722,0.69975704,0.82284170,0.90425396,1.00000072,0.91598457,0.82830024,0.76603198,0.71345812,0.66607952,0.60919601,0.57078195,0.50526375,0.21538647
27,-0.03460050,-0.03382188,-0.03389045,-0.02137990,0.01653581,-0.02407345,-0.02668664,-0.02618553,0.00496401,-0.02380356,-0.00378634,0.00298041,0.02601781,0.02626136,0.04624091,0.06254464,0.11032391,0.16980793,0.22976936,0.30929169,0.36028582,0.40867537,0.52680469,0.64154053,0.75010842,0.83013958,0.91598457,1.00000083,0.89838886,0.82729667,0.77175701,0.71830332,0.66111553,0.62024021,0.55221510,0.23567170
28,-0.03314599,-0.03588670,-0.03560830,-0.02431539,0.00634857,-0.01465786,-0.02559922,-0.02474815,0.00733678,-0.02355840,-0.00677804,0.00149861,0.02465595,0.01767780,0.03972675,0.05532734,0.09677145,0.15644243,0.21209712,0.28991038,0.33491266,0.37805307,0.48513988,0.59006286,0.68627155,0.75498009,0.82830024,0.89838886,1.00000083,0.91516960,0.85737759,0.79808456,0.73795336,0.69101095,0.60846442,0.26895818
29,-0.03284606,-0.02841790,-0.03039582,-0.01959648,-0.00355815,-0.00987293,-0.01771541,-0.02144575,0.00028179,-0.02175565,-0.00709905,0.00556276,0.02439432,0.02153414,0.03932982,0.04869996,0.08513330,0.14036728,0.18982233,0.26695704,0.30159289,0.34494093,0.45138845,0.54593188,0.63311958,0.69755208,0.76603198,0.82729667,0.91516960,1.00000095,0.93594354,0.87439615,0.80963016,0.75498807,0.65021479,0.32396409
30,-0.03107978,-0.02146794,-0.03166746,-0.01497216,-0.00433451,-0.01269859,-0.02151514,-0.02655849,-0.00781061,-0.02159788,-0.00242749,0.00334101,0.02181741,0.02404788,0.03562151,0.04429242,0.07780260,0.13255924,0.18546925,0.25348103,0.28731987,0.32774553,0.42354599,0.50848442,0.59217167,0.65298313,0.71345812,0.77175701,0.85737759,0.93594354,1.00000083,0.93497181,0.86449039,0.80279338,0.68615246,0.35873926
31,-0.02567582,-0.01811473,-0.02490702,-0.01286009,-0.00590345,-0.01460351,-0.02179964,-0.02951550,-0.00253969,-0.01480969,-0.00248156,-0.00211434,0.01483754,0.02573073,0.03221570,0.03849245,0.07052936,0.12690693,0.18020871,0.24129325,0.27280316,0.30357739,0.39152047,0.47586891,0.55322039,0.60941213,0.66607952,0.71830332,0.79808456,0.87439615,0.93497181,1.00000048,0.91723001,0.84917867,0.71958065,0.40671694
32,-0.02823453,-0.01924401,-0.03084723,-0.01900642,-0.00578491,-0.01013103,-0.01665442,-0.02614255,-0.00251815,-0.01593087,-0.01145507,-0.00042146,0.01256094,0.02892240,0.03348483,0.03638668,0.07136485,0.11690890,0.17438082,0.22646271,0.25857100,0.27765390,0.35162261,0.42893696,0.49726999,0.55075407,0.60919595,0.66111547,0.73795331,0.80963004,0.86448991,0.91723031,1.00000095,0.92468441,0.78953671,0.44389075
33,-0.02574127,-0.02856111,-0.03326410,-0.02025438,0.00667241,-0.01248883,-0.02141209,-0.01688727,0.00158717,-0.01727397,-0.01440459,-0.00417824,0.00004719,0.02159319,0.03013592,0.03724882,0.07350450,0.11667435,0.16317479,0.21003999,0.24250445,0.25851732,0.32327649,0.40294197,0.45154208,0.50612313,0.57078195,0.62024009,0.69101107,0.75498790,0.80279362,0.84917873,0.92468441,1.00000072,0.86930013,0.43805611
34,-0.02574724,-0.02971700,-0.04145930,-0.02291301,0.00859957,-0.02085152,-0.03135322,-0.03477155,-0.01006189,-0.03328545,-0.04037565,-0.02675031,-0.02098839,0.00950495,0.02912759,0.07611188,0.09740178,0.14475948,0.18310621,0.21911915,0.25478458,0.25779328,0.29730040,0.36579198,0.38168705,0.43476439,0.50526386,0.55221516,0.60846454,0.65021467,0.68615252,0.71958029,0.78953671,0.86930013,1.00000060,0.36001384
35,0.05863712,0.11668763,0.04804622,0.07197008,-0.04900930,0.00446342,0.01850062,0.01309770,0.03280816,0.03544827,0.04938640,0.01962229,0.03767324,0.02916040,0.03537903,-0.06108506,-0.03216451,-0.03707404,-0.03191668,0.00093455,0.00819842,0.02746414,0.07061363,0.10652120,0.22315320,0.21670604,0.21538644,0.23567176,0.26895809,0.32396412,0.35873923,0.40671712,0.44389075,0.43805611,0.36001384,1.00000095
