layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
23,-0.03520466,-0.00240016,-0.01863725,-0.01295103,0.00669760,-0.00283343,-0.03253842,0.00850030,0.00955640,0.02573073,-0.02054669,0.01151113,0.02184280,0.04663404,0.03433646,0.05909181,0.03125220,-0.00313047,0.04116757,0.04313187,0.04611813,0.02442727,0.01777752,1.00000107,0.06931350,0.08580252,0.08960523,0.04778535,0.07126410,-0.00196460,-0.01169775,-0.01245029,-0.03382321,-0.01679785,-0.00402705,0.06519255
24,-0.00192097,-0.01697670,-0.02258955,-0.04122128,0.03451514,0.01407659,0.01280794,0.00073100,0.00705550,0.00249751,-0.01264448,0.01162214,0.06664034,0.01882344,0.00102321,0.00005947,0.00429497,0.05136597,0.04398581,0.03426776,0.04607727,0.01134530,0.06597856,0.06931350,1.00000048,-0.00101410,0.10158168,0.08317029,0.12317841,0.03654746,0.05286665,0.06204804,0.03299125,0.03184262,-0.01503401,-0.06260272
25,0.00263725,0.00172736,-0.00423220,-0.01909132,0.01268986,0.01025362,0.02042324,0.01688932,-0.03788965,0.03202817,0.01723716,0.01032065,0.02124214,0.01737885,0.01527403,-0.03406250,0.03931079,0.03958974,0.01889018,0.02265492,0.00838414,0.01559678,0.04820038,0.08580252,-0.00101410,1.00000119,0.05278113,0.06658507,0.06267057,0.08694475,0.08018451,0.06093074,0.07715861,0.01464797,-0.01007666,-0.06581129
26,0.00856544,-0.01810830,-0.01147973,0.01457426,0.05355407,-0.02303808,0.02272287,0.00813390,0.00017067,0.00286881,0.03332806,0.01242350,0.00713577,-0.00843762,0.01261754,-0.01990001,0.01172760,-0.00273058,0.01585106,0.02155641,-0.01686677,0.02863447,0.05769346,0.08960523,0.10158168,0.05278113,1.00000072,0.01790829,0.08222812,0.05240525,0.08107410,0.04651202,0.00203188,0.00945382,-0.04653399,-0.02686650
27,-0.01814271,-0.01282590,0.00212945,-0.01727385,0.03051128,0.00351558,0.00493050,0.00674178,0.02195496,-0.00521273,0.01090302,0.00703826,-0.00480343,0.00564733,0.01667407,0.02238288,0.01319436,0.00363061,0.06504088,0.01164936,-0.02591565,-0.02898469,0.02866566,0.04778535,0.08317029,0.06658507,0.01790829,1.00000060,0.05150941,0.03264314,-0.02519760,0.02990440,0.02299443,-0.03561102,-0.02158412,0.01211997
28,-0.00160955,-0.03888381,-0.03022503,-0.03017606,0.01696930,0.00379102,0.02958840,-0.00427763,0.00600847,-0.00191478,0.02313086,0.00490599,0.01795452,0.03586692,-0.02241847,-0.03106206,0.00885509,0.03608632,0.02031638,0.03824561,0.02790261,0.03631152,0.04413472,0.07126410,0.12317841,0.06267057,0.08222812,0.05150941,1.00000083,0.08190745,0.08394350,0.06801540,0.06888804,-0.00070165,-0.01018896,-0.07135665
29,0.01860980,-0.04010590,0.00558582,0.01421150,0.02604036,0.01643276,0.01746264,-0.03426369,0.01231011,-0.02856393,0.02377924,-0.01060070,-0.02618203,0.01796056,-0.00658562,-0.05177859,-0.01237178,-0.01507795,0.00186518,-0.01892751,-0.03556465,0.03939446,0.04585594,-0.00196460,0.03654746,0.08694475,0.05240525,0.03264314,0.08190745,1.00000095,0.10836671,0.08708880,0.08387776,0.01004121,-0.00824078,-0.12457093
30,0.02447651,-0.02733936,-0.04806238,-0.01548945,0.03899164,0.03391064,0.01254610,-0.02711512,0.00426657,-0.00850193,0.03253555,0.01883354,-0.00222760,-0.01766240,-0.04384746,-0.06202673,-0.02786211,0.02150610,-0.01052829,0.01405198,-0.02117560,-0.01526945,0.06681190,-0.01169775,0.05286665,0.08018451,0.08107410,-0.02519760,0.08394350,0.10836671,1.00000095,0.12256347,0.12792739,0.00915813,0.00697650,-0.16140181
31,0.01333410,-0.03958935,-0.03482275,-0.02407162,0.01600671,0.01381959,0.05218652,-0.01473609,-0.00375369,-0.00107802,0.04882497,0.02345598,-0.02644073,-0.01527623,-0.03312160,-0.08234021,-0.02902586,0.02194438,0.00124702,-0.02163372,-0.00677340,0.02905271,0.08827803,-0.01245029,0.06204804,0.06093074,0.04651202,0.02990440,0.06801540,0.08708880,0.12256347,1.00000107,0.12056144,0.02513799,-0.02136503,-0.18698958
32,0.02929814,-0.02068878,-0.01980859,-0.00770929,0.03438463,0.00073465,0.03966598,-0.01751530,-0.00952928,-0.00872774,0.04437754,-0.01367444,-0.00718218,-0.04792402,-0.00165783,-0.05567407,-0.03738666,0.05629549,-0.01326816,0.00260075,-0.04206669,-0.00373752,0.08447965,-0.03382321,0.03299124,0.07715862,0.00203187,0.02299443,0.06888802,0.08387778,0.12792736,0.12056138,1.00000024,0.08711128,0.05179914,-0.18588109
33,0.02422917,0.00963076,-0.01707555,0.00983999,0.00472521,-0.02144103,-0.01999437,-0.00592591,-0.01477756,0.02560127,-0.01255669,-0.01663997,0.01240108,-0.01935680,0.02657652,-0.01780724,0.02313180,0.01256678,-0.02226647,0.01945703,0.01184857,-0.01430001,-0.00847480,-0.01679786,0.03184264,0.01464798,0.00945383,-0.03561104,-0.00070164,0.01004121,0.00915814,0.02513798,0.08711128,1.00000048,0.05901494,-0.04149677
34,-0.01033075,0.02181655,0.02726392,0.02801256,-0.01795906,0.01192302,0.02535884,-0.00142304,0.00458313,0.00112248,0.00075960,0.00821004,0.00525204,-0.00967867,0.00886427,-0.03063668,0.01413857,-0.02867378,-0.02623404,-0.05605496,-0.00292937,0.01050578,-0.01879375,-0.00402708,-0.01503403,-0.01007663,-0.04653400,-0.02158411,-0.01018897,-0.00824078,0.00697652,-0.02136504,0.05179914,0.05901494,1.00000072,-0.03404592
35,-0.04372423,0.06258160,0.05787910,0.04178688,-0.05075839,-0.02419126,-0.08925515,0.02852525,0.00364826,0.03413597,-0.09397698,-0.00373720,0.00833070,0.04570609,0.03872620,0.15619875,0.03427247,-0.04902140,0.04947105,0.02564804,0.03699187,-0.02074220,-0.13439417,0.06519258,-0.06260274,-0.06581131,-0.02686648,0.01211996,-0.07135664,-0.12457097,-0.16140170,-0.18698958,-0.18588109,-0.04149677,-0.03404592,1.00000072
